HGNC	hallmarks of aging
A2M	'stem cell exhaustion','sterile inflammation'
AARS1	
AASS	'transcriptional alterations','accumulation of reactive oxygen species'
ABCA5	
ABCA8	
ABCA9	
ABCC4	'accumulation of reactive oxygen species'
ABCD3	
ABCE1	
ABCG1	
ABCG2	
ABHD1	
ABI2	
ABLIM1	
ABLIM2	'transcriptional alterations'
ABO	
ABR	
ACAA2	'impairment of the mitochondrial integrity and biogenesis'
ACADVL	'accumulation of reactive oxygen species'
ACAN	'degradation of proteolytic systems','changes in the extracellular matrix structure'
ACE	'degradation of proteolytic systems','stem cell exhaustion'
ACE2	'degradation of proteolytic systems'
ACF	
ACKR2	'sterile inflammation'
ACKR3	
ACOT13	
ACOT8	
ACOT9	
ACOX1	'accumulation of reactive oxygen species'
ACP1	
ACP2	
ACRV1	
ACSBG1	
ACSL5	
ACTA1	
ACTG1	
ACTN1	
ACTN4	
ACVR2A	'transcriptional alterations'
ACY3	
ADAM10	'degradation of proteolytic systems','intercellular communication impairment','changes in the extracellular matrix structure'
ADAM8	'degradation of proteolytic systems','sterile inflammation','changes in the extracellular matrix structure'
ADAMTS1	'degradation of proteolytic systems'
ADAMTS20	'degradation of proteolytic systems'
ADAMTS5	'degradation of proteolytic systems','changes in the extracellular matrix structure'
ADAP1	
ADCY1	'sterile inflammation'
ADCY3	
ADCY5	
ADD3	
ADGRE1	
ADGRE5	'sterile inflammation','intercellular communication impairment'
ADGRL1	
ADH1A	'accumulation of reactive oxygen species'
ADH1B	'accumulation of reactive oxygen species'
ADIPOQ	'AMPK pathway dysregulation','changes in the extracellular matrix structure'
ADIRF	'transcriptional alterations'
ADK	
ADPRS	'nuclear DNA instability'
ADRA1A	'intercellular communication impairment'
ADRA1B	'intercellular communication impairment'
ADRB2	'transcriptional alterations','AMPK pathway dysregulation'
AFG1L	'impairment of the mitochondrial integrity and biogenesis'
AGER	'sterile inflammation'
AGFG1	'nuclear architecture impairment'
AGFG2	
AGO2	'transcriptional alterations'
AGO4	'nuclear DNA instability'
AGPAT1	
AGT	'intercellular communication impairment'
AGTR1	'sterile inflammation'
AHCYL1	
AHCYL2	
AHNAK	
AHR	'transcriptional alterations'
AHSA2P	
AHSP	
AIDA	
AIF1	'sterile inflammation','intercellular communication impairment'
AIFM1	'nuclear DNA instability','accumulation of reactive oxygen species','intercellular communication impairment'
AIP	'transcriptional alterations'
AK2	
AKAP13	'AMPK pathway dysregulation'
AKAP7	
AKAP8	'nuclear DNA instability'
AKAP9	'intercellular communication impairment'
AKR1C2	'accumulation of reactive oxygen species'
AKT1	'transcriptional alterations','degradation of proteolytic systems','TOR pathway dysregulation','INS/IGF-1 pathway dysregulation','impairment of the mitochondrial integrity and biogenesis','sterile inflammation'
AKT1S1	'TOR pathway dysregulation'
AKT2	'INS/IGF-1 pathway dysregulation'
AKT3	'mitochondrial DNA instability','TOR pathway dysregulation','impairment of the mitochondrial integrity and biogenesis','senescent cells accumulation'
AKTIP	'nuclear DNA instability'
ALB	'intercellular communication impairment'
ALDH1B1	'accumulation of reactive oxygen species'
ALDH4A1	'accumulation of reactive oxygen species'
ALDH6A1	'accumulation of reactive oxygen species'
ALDH9A1	'accumulation of reactive oxygen species'
ALKBH7	'nuclear DNA instability','impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'
ALOX12	'accumulation of reactive oxygen species'
ALOX5AP	'accumulation of reactive oxygen species','sterile inflammation'
ALPK3	
AMOT	
AMOTL2	
ANAPC5	'degradation of proteolytic systems'
ANK2	'intercellular communication impairment'
ANK3	
ANKRD13C	
ANKRD20A9P	
ANP32B	'chromatin remodeling'
ANXA1	'nuclear DNA instability','sterile inflammation'
ANXA3	
ANXA4	'transcriptional alterations'
ANXA5	
ANXA7	'disabled macroautophagy'
AOX1	'accumulation of reactive oxygen species'
AP2B1	
AP3S1	'INS/IGF-1 pathway dysregulation'
AP4S1	
APBB1	'nuclear DNA instability','alterations in histone modifications','transcriptional alterations'
APBB3	
APC	'nuclear DNA instability','degradation of proteolytic systems','INS/IGF-1 pathway dysregulation'
APEX1	'nuclear DNA instability','telomere attrition','transcriptional alterations','accumulation of reactive oxygen species'
API5	
APOB	
APOBEC3A	
APOBEC3G	
APOC1	
APOC3	
APOD	
APOE	'intercellular communication impairment'
APP	'transcriptional alterations'
APPBP1	
APPBP2	'degradation of proteolytic systems'
AR	'transcriptional alterations','INS/IGF-1 pathway dysregulation','intercellular communication impairment'
ARAP3	
ARF3	
ARFGAP2	
ARFGEF1	
ARFIP1	
ARHGAP1	
ARHGAP29	
ARHGAP35	'intercellular communication impairment'
ARHGAP45	
ARHGEF18	
ARHGEF3	
ARHGEF5	
ARHGEF6	
ARHGEF7	
ARHGEF9	
ARIH1	'degradation of proteolytic systems'
ARL2BP	
ARMCX3	'transcriptional alterations','impairment of the mitochondrial integrity and biogenesis'
ARPC5L	
ARPP19	
ARPP21	
ASB12	
ASB17	
ASCC1	'nuclear DNA instability'
ASCL1	'transcriptional alterations'
ASF1A	'nuclear DNA instability','chromatin remodeling'
ASIC2	'intercellular communication impairment'
ASL	
ASMTL	
ASXL1	'alterations in histone modifications','transcriptional alterations','degradation of proteolytic systems'
ATF2	'nuclear DNA instability','alterations in histone modifications','transcriptional alterations','impairment of the mitochondrial integrity and biogenesis','intercellular communication impairment'
ATG12	'impairment of the mitochondrial integrity and biogenesis','disabled macroautophagy'
ATG4B	'degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis','disabled macroautophagy'
ATG5	'impairment of the mitochondrial integrity and biogenesis','intercellular communication impairment','disabled macroautophagy'
ATM	'nuclear DNA instability','telomere attrition','alterations in histone modifications','transcriptional alterations','TOR pathway dysregulation','senescent cells accumulation'
ATOX1	
ATP1B4	
ATP2A2	'disabled macroautophagy'
ATP2B2	
ATP5F1A	
ATP5F1C	
ATP5MC1	
ATP5MC3	
ATP5ME	
ATP5PD	
ATP5PF	
ATP5PO	
ATP6V0B	
ATP6V1A	
ATP6V1G2	
ATP6V1H	
ATP7A	'impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species','changes in the extracellular matrix structure'
ATPAF1	
ATR	'nuclear DNA instability','telomere attrition','senescent cells accumulation'
ATRX	'nuclear DNA instability','chromatin remodeling','transcriptional alterations','alterations in DNA methylation'
ATXN2	
AUH	
AVL9	
AVPI1	
AZIN1	
B3GALNT1	
B3GAT1	
B3GLCT	
B3GNT2	
B4GALT1	'sterile inflammation'
B4GAT1	
BACE2	'degradation of proteolytic systems'
BACH2	'transcriptional alterations'
BAD	'degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis'
BAK1	'degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis'
BAMBI	
BAX	'impairment of the mitochondrial integrity and biogenesis'
BAZ2A	'alterations in histone modifications','chromatin remodeling','transcriptional alterations','alterations in DNA methylation'
BBOX1	'accumulation of reactive oxygen species'
BCL11A	'transcriptional alterations'
BCL11B	'transcriptional alterations'
BCL2	'nuclear DNA instability','impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species','stem cell exhaustion','intercellular communication impairment'
BCL2L2	'impairment of the mitochondrial integrity and biogenesis'
BCL3	'nuclear DNA instability','transcriptional alterations','sterile inflammation'
BCL6	'nuclear DNA instability','alterations in histone modifications','transcriptional alterations','senescent cells accumulation','sterile inflammation'
BCS1L	'impairment of the mitochondrial integrity and biogenesis'
BDNF	
BECN1	'impairment of the mitochondrial integrity and biogenesis','intercellular communication impairment','disabled macroautophagy'
BEND3	'alterations in histone modifications','chromatin remodeling','transcriptional alterations','alterations in DNA methylation'
BEND4	
BEX3	
BFSP1	
BHLHE41	'transcriptional alterations'
BIK	'impairment of the mitochondrial integrity and biogenesis'
BIN1	'nuclear architecture impairment','transcriptional alterations'
BIRC2	'degradation of proteolytic systems','sterile inflammation'
BIRC5	
BLM	'nuclear DNA instability','telomere attrition'
BLMH	'degradation of proteolytic systems'
BMAL1	'transcriptional alterations','degradation of proteolytic systems','TOR pathway dysregulation','senescent cells accumulation'
BMI1	'alterations in histone modifications','transcriptional alterations','alterations in DNA methylation','stem cell exhaustion'
BMP5	'transcriptional alterations','INS/IGF-1 pathway dysregulation'
BNIP3	'impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species','disabled macroautophagy'
BNIP3L	'impairment of the mitochondrial integrity and biogenesis'
BOP1	
BPHL	
BPIFB4	
BRAF	'stem cell exhaustion'
BRAP	
BRCA1	'nuclear DNA instability','alterations in histone modifications','transcriptional alterations','alterations in DNA methylation','degradation of proteolytic systems'
BRCA2	'nuclear DNA instability','telomere attrition','alterations in histone modifications','senescent cells accumulation'
BRD1	'alterations in histone modifications','transcriptional alterations'
BRD2	'chromatin remodeling','transcriptional alterations'
BRF2	
BSCL2	
BTBD9	
BTNL2	
BTNL3	
BTRC	'degradation of proteolytic systems'
BUB1B	'nuclear DNA instability'
BUB3	
C10orf35	
C17orf75	
C1QA	'intercellular communication impairment'
C1QB	
C1QBP	'transcriptional alterations'
C1QC	
C1QL1	
C1S	'degradation of proteolytic systems'
C2	'degradation of proteolytic systems'
C3	'sterile inflammation'
C3AR1	'sterile inflammation'
C4A	'sterile inflammation'
C4B	
C5	'sterile inflammation'
C5AR1	'transcriptional alterations','sterile inflammation'
C7	
C9orf85	
CA14	
CA2	
CA3	
CA4	
CACNA1A	'intercellular communication impairment'
CACNA1C	'intercellular communication impairment'
CACNB1	'intercellular communication impairment'
CACNB2	'intercellular communication impairment'
CACNG1	
CACNG4	
CADM1	
CADM2	
CALB1	
CALB2	
CALD1	
CALM1	
CALM3	
CAMK2A	'impairment of the mitochondrial integrity and biogenesis'
CAMK2B	
CAMK4	'sterile inflammation'
CAMKK2	'AMPK pathway dysregulation'
CAMTA1	'transcriptional alterations'
CAP2	
CAPG	'changes in the extracellular matrix structure'
CAPN15	'degradation of proteolytic systems'
CAPN2	'degradation of proteolytic systems'
CAPN7	'degradation of proteolytic systems'
CAPZA2	
CARHSP1	
CARS1	
CASP1	'degradation of proteolytic systems'
CASP10	'degradation of proteolytic systems'
CASP2	'nuclear DNA instability','degradation of proteolytic systems'
CAST	
CAT	'accumulation of reactive oxygen species'
CAV1	'transcriptional alterations'
CAV2	'INS/IGF-1 pathway dysregulation','impairment of the mitochondrial integrity and biogenesis'
CBFA2T2	'transcriptional alterations'
CBLB	
CBS	'nuclear DNA instability','accumulation of reactive oxygen species','intercellular communication impairment'
CBX4	'transcriptional alterations'
CBX5	'nuclear DNA instability','transcriptional alterations'
CCDC88C	
CCKBR	
CCL5	'sterile inflammation','intercellular communication impairment'
CCN4	'intercellular communication impairment'
CCN5	'intercellular communication impairment'
CCND1	'nuclear DNA instability','transcriptional alterations'
CCND2	
CCNG2	
CCNH	'transcriptional alterations'
CCNL2	'transcriptional alterations'
CCR1	'sterile inflammation','intercellular communication impairment'
CCR7	'sterile inflammation'
CD14	'sterile inflammation'
CD163	'sterile inflammation'
CD244	
CD27	
CD28	'transcriptional alterations'
CD2AP	'degradation of proteolytic systems'
CD3G	
CD44	'sterile inflammation'
CD46	
CD47	
CD5	
CD55	
CD58	
CD59	
CD7	
CD80	
CD96	'sterile inflammation'
CDC14B	'nuclear DNA instability'
CDC16	'degradation of proteolytic systems'
CDC26	'degradation of proteolytic systems'
CDC40	
CDC42	
CDC42EP3	
CDC5L	'nuclear DNA instability','transcriptional alterations'
CDH13	'transcriptional alterations'
CDH22	
CDH4	
CDHR2	
CDK11A	
CDK13	
CDK2	'nuclear DNA instability','alterations in histone modifications','transcriptional alterations','senescent cells accumulation'
CDK5R1	
CDK7	'nuclear DNA instability','transcriptional alterations'
CDKN1A	'nuclear DNA instability','senescent cells accumulation','intercellular communication impairment'
CDKN2A	
CDKN2B	'senescent cells accumulation','intercellular communication impairment'
CDKN2B-AS1	
CDKN2C	
CDO1	'accumulation of reactive oxygen species','sterile inflammation'
CDV3	
CDYL	
CEACAM4	
CEBPA	'transcriptional alterations','impairment of the mitochondrial integrity and biogenesis'
CEBPB	'transcriptional alterations','sterile inflammation'
CELF1	
CELF2	
CELSR2	
CENATAC	
CENPO	'nuclear DNA instability'
CENPU	
CEP350	
CEP57	
CEP89	'impairment of the mitochondrial integrity and biogenesis','intercellular communication impairment'
CERS6	'sterile inflammation'
CERT1	'impairment of the mitochondrial integrity and biogenesis'
CETN3	
CETP	
CFB	'degradation of proteolytic systems'
CFDP1	'chromatin remodeling'
CFH	'degradation of proteolytic systems'
CFHR1	
CFLAR	'degradation of proteolytic systems'
CHAD	
CHCHD3	'impairment of the mitochondrial integrity and biogenesis'
CHCHD4	'accumulation of reactive oxygen species'
CHPT1	
CHRNA1	'intercellular communication impairment'
CHRNA3	'intercellular communication impairment'
CHRNA4	'nuclear DNA instability','intercellular communication impairment'
CHRNA5	'intercellular communication impairment'
CHRNA7	'intercellular communication impairment'
CHST2	'sterile inflammation'
CHSY1	
CHTF18	'nuclear DNA instability'
CILK1	
CIRBP	
CISD2	'impairment of the mitochondrial integrity and biogenesis','disabled macroautophagy'
CITED2	'transcriptional alterations','senescent cells accumulation'
CITED4	
CKLF	
CKMT2	
CLASRP	
CLDN5	
CLEC11A	
CLEC2B	
CLIC1	
CLIC2	'accumulation of reactive oxygen species'
CLIC4	
CLIP1	
CLK1	
CLN8	'impairment of the mitochondrial integrity and biogenesis'
CLOCK	'alterations in histone modifications','transcriptional alterations','degradation of proteolytic systems'
CLPX	'impairment of proteins folding and stability','degradation of proteolytic systems'
CLSTN1	
CLSTN2	
CLTB	
CLTC-IT1	
CLU	'impairment of proteins folding and stability','impairment of the mitochondrial integrity and biogenesis'
CMAS	
CMC2	
CMKLR2	
CMTM7	
CNIH4	
CNOT8	'transcriptional alterations'
CNR1	'intercellular communication impairment'
CNTN1	
COA1	
COBLL1	
COG5	
COL1A1	'intercellular communication impairment','changes in the extracellular matrix structure'
COL1A2	'changes in the extracellular matrix structure'
COL2A1	'changes in the extracellular matrix structure'
COL3A1	'changes in the extracellular matrix structure'
COL4A1	'changes in the extracellular matrix structure'
COL4A2	'transcriptional alterations','changes in the extracellular matrix structure'
COL4A3	'changes in the extracellular matrix structure'
COL4A4	'changes in the extracellular matrix structure'
COL4A5	'changes in the extracellular matrix structure'
COL4A6	'changes in the extracellular matrix structure'
COMT	'intercellular communication impairment'
COPA	
COPS5	'transcriptional alterations','degradation of proteolytic systems'
COPS6	'degradation of proteolytic systems'
COQ3	
COQ7	'accumulation of reactive oxygen species'
COX10	'impairment of the mitochondrial integrity and biogenesis'
COX11	'accumulation of reactive oxygen species'
COX4I1	'accumulation of reactive oxygen species'
COX7A2	'impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'
COX7A2P2	
COX7C	
CPD	'degradation of proteolytic systems'
CPNE1	'degradation of proteolytic systems'
CPNE3	
CPSF1	
CPSF2	
CPSF7	
CPT1B	
CR2	
CRADD	'nuclear DNA instability'
CREB1	'transcriptional alterations'
CREBBP	'alterations in histone modifications','transcriptional alterations'
CREBL2	'transcriptional alterations'
CREBZF	'transcriptional alterations'
CRH	'sterile inflammation','intercellular communication impairment'
CRIM1	'INS/IGF-1 pathway dysregulation'
CRKL	
CRP	'sterile inflammation'
CRTC3	'transcriptional alterations'
CRY2	'nuclear DNA instability','transcriptional alterations'
CRYAB	
CS	
CSF2	
CSMD1	
CSNK1A1	'degradation of proteolytic systems'
CSNK1E	'nuclear DNA instability'
CSNK2A1	'impairment of proteins folding and stability'
CSNK2A2	
CSPP1	
CSRP1	
CSTF3	
CTBP1	'chromatin remodeling','transcriptional alterations','accumulation of reactive oxygen species'
CTBS	
CTF1	'intercellular communication impairment'
CTGF	'INS/IGF-1 pathway dysregulation','accumulation of reactive oxygen species','changes in the extracellular matrix structure'
CTH	
CTNNA1	
CTNNB1	'transcriptional alterations','degradation of proteolytic systems','stem cell exhaustion','sterile inflammation','intercellular communication impairment'
CTNNBIP1	
CTSA	'degradation of proteolytic systems'
CUL4B	'nuclear DNA instability','alterations in histone modifications','degradation of proteolytic systems'
CX3CL1	'transcriptional alterations','sterile inflammation','intercellular communication impairment'
CX3CR1	'intercellular communication impairment'
CXCL1	'sterile inflammation'
CXCL10	'transcriptional alterations','sterile inflammation','intercellular communication impairment'
CXCL12	
CXCL14	'intercellular communication impairment'
CXCL16	
CXCL2	'sterile inflammation'
CXCL5	'sterile inflammation','intercellular communication impairment'
CXCL8	'sterile inflammation'
CXCL9	'sterile inflammation','intercellular communication impairment'
CXCR3	'sterile inflammation'
CXXC1	'alterations in histone modifications'
CYB561	'accumulation of reactive oxygen species'
CYB5R3	'accumulation of reactive oxygen species'
CYBB	'accumulation of reactive oxygen species','sterile inflammation'
CYC1	'accumulation of reactive oxygen species'
CYCS	'degradation of proteolytic systems','accumulation of reactive oxygen species'
CYFIP1	
CYGB	'accumulation of reactive oxygen species'
CYP19A1	'accumulation of reactive oxygen species'
CYP1B1	'accumulation of reactive oxygen species'
CYP1B1-AS1	
CYP2A6	'accumulation of reactive oxygen species'
CYP4X1	'accumulation of reactive oxygen species'
CYTH1	
DAAM1	
DAAM2	
DAZAP1	
DBN1	'intercellular communication impairment'
DCHS1	
DCK	
DCLRE1C	'nuclear DNA instability','telomere attrition'
DDIT3	'nuclear DNA instability','transcriptional alterations','degradation of proteolytic systems','accumulation of reactive oxygen species'
DDIT4	'TOR pathway dysregulation','accumulation of reactive oxygen species'
DDR1	
DDT	
DDX11	'nuclear DNA instability'
DDX12P	
DDX17	'transcriptional alterations'
DDX23	'chromatin remodeling'
DDX24	
DDX3X	'nuclear DNA instability','transcriptional alterations'
DDX42	
DDX55	
DEAF1	'transcriptional alterations'
DECR1	'accumulation of reactive oxygen species'
DEDD	
DEFA1	
DERL1	'degradation of proteolytic systems'
DEXI	
DFFB	'nuclear DNA instability'
DGAT1	
DGCR8	
DGKA	
DGKZ	
DHFR	'accumulation of reactive oxygen species'
DHFRP3	
DHRS3	'accumulation of reactive oxygen species'
DHX15	
DHX9	'nuclear DNA instability','transcriptional alterations','sterile inflammation'
DICER1	'nuclear DNA instability','transcriptional alterations'
DIDO1	'transcriptional alterations'
DIMT1	
DIS3	
DIXDC1	
DKK3	
DLAT	'accumulation of reactive oxygen species'
DLD	'degradation of proteolytic systems','accumulation of reactive oxygen species'
DLEU1	
DLG1	'transcriptional alterations','intercellular communication impairment'
DLK2	
DMD	
DMRT2	'transcriptional alterations'
DNAJA2	
DNAJC7	'impairment of proteins folding and stability'
DNASE1L1	
DNM1L	'impairment of the mitochondrial integrity and biogenesis'
DNPH1	
DNTTIP2	
DPEP2	'degradation of proteolytic systems'
DPF2	'chromatin remodeling','transcriptional alterations'
DPH5	
DPYD	'accumulation of reactive oxygen species'
DPYSL3	
DPYSL5	
DRD2	'transcriptional alterations','intercellular communication impairment','disabled macroautophagy'
DRD4	'intercellular communication impairment'
DSC1	
DSC2	'intercellular communication impairment'
DTNBP1	
DUSP10	
DUSP13	
DUSP19	
DUSP2	
DUSP4	
DUSP5	
DUSP6	
DUT	
DVL2	'transcriptional alterations'
DYNC1H1	
DYNC1I1	
DYRK1A	'alterations in histone modifications'
DYRK2	'nuclear DNA instability'
DYRK4	
DZIP3	
E2F1	'transcriptional alterations'
E2F4	'transcriptional alterations'
EBF1	'transcriptional alterations'
EBNA1BP2	
ECE1	'degradation of proteolytic systems'
ECHDC1	
ECHDC2	
ECI2	
ECM2	
ECPAS	'degradation of proteolytic systems'
ECSIT	
EDAR	
EDEM3	
EEF1A1	
EEF1E1	'senescent cells accumulation'
EEF2	
EEF2K	
EFCAB7	'transcriptional alterations'
EFEMP1	'changes in the extracellular matrix structure'
EFEMP2	'changes in the extracellular matrix structure'
EFS	
EFTUD2	
EGFL6	
EGFR	'transcriptional alterations'
EGLN1	'transcriptional alterations','accumulation of reactive oxygen species'
EGR1	'transcriptional alterations'
EGR2	'transcriptional alterations'
EGR3	'transcriptional alterations','intercellular communication impairment'
EHD3	
EHMT1	'alterations in histone modifications','chromatin remodeling','transcriptional alterations','alterations in DNA methylation'
EIF3M	
EIF4A1	
EIF4B	
EIF4EBP1	'TOR pathway dysregulation'
EIF4G3	
EIF4H	
EIF5A	'transcriptional alterations'
EIF5A2	
ELAVL1	
ELF2	'transcriptional alterations'
ELL2	'transcriptional alterations'
ELMO1	
ELMO3	
ELN	'changes in the extracellular matrix structure'
ELOVL5	
EML4	
ENPP5	'intercellular communication impairment'
ENSA	
ENTPD3	
EP300	'alterations in histone modifications','chromatin remodeling','transcriptional alterations'
EP400	'nuclear DNA instability','alterations in histone modifications','chromatin remodeling'
EPB41	
EPB41L2	
EPB41L3	
EPC1	'nuclear DNA instability','alterations in histone modifications','transcriptional alterations'
EPHA6	
EPHX2	
EPM2A	
EPOR	
EPS8	
ERAP2	'degradation of proteolytic systems'
ERBB2	
ERBB3	
ERCC1	'nuclear DNA instability','telomere attrition','senescent cells accumulation'
ERCC2	'nuclear DNA instability','transcriptional alterations','stem cell exhaustion'
ERCC3	'nuclear DNA instability','transcriptional alterations'
ERCC4	'nuclear DNA instability','telomere attrition'
ERCC5	'nuclear DNA instability'
ERCC6	
ERCC8	'nuclear DNA instability','degradation of proteolytic systems'
ERGIC3	
ERP27	
ESR1	'chromatin remodeling','transcriptional alterations','stem cell exhaustion'
ESR2	'transcriptional alterations','intercellular communication impairment'
ETF1	
ETFDH	'accumulation of reactive oxygen species'
ETNK1	
ETNPPL	
ETS2	'transcriptional alterations'
ETV6	'transcriptional alterations'
EWSR1	'transcriptional alterations'
EXO1	'nuclear DNA instability'
EXOC3L2	
EXOC5	
EXOC7	
EXOSC10	
EXOSC2	
EXOSC8	
EYA1	'nuclear DNA instability','alterations in histone modifications','transcriptional alterations'
EZH2	'alterations in histone modifications','chromatin remodeling','transcriptional alterations','alterations in DNA methylation','stem cell exhaustion','intercellular communication impairment'
F13A1	
FAAH	
FABP3	
FADS1	'accumulation of reactive oxygen species','intercellular communication impairment'
FAM107A	'intercellular communication impairment'
FAM13A	
FAM162A	
FAM210A	
FANCC	'nuclear DNA instability','accumulation of reactive oxygen species','stem cell exhaustion'
FANCG	'nuclear DNA instability','impairment of the mitochondrial integrity and biogenesis'
FANCL	'nuclear DNA instability'
FAS	'intercellular communication impairment'
FASTK	'impairment of the mitochondrial integrity and biogenesis'
FAXDC2	'accumulation of reactive oxygen species'
FBLN1	'changes in the extracellular matrix structure'
FBLN5	'changes in the extracellular matrix structure'
FBN1	'changes in the extracellular matrix structure'
FBN2	'changes in the extracellular matrix structure'
FBXL4	'degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis','disabled macroautophagy'
FBXO21	'degradation of proteolytic systems'
FBXO22	'degradation of proteolytic systems','intercellular communication impairment'
FBXW11	'degradation of proteolytic systems'
FCER1A	
FCER1G	
FCGBP	
FCGR1A	'sterile inflammation'
FCGR2A	
FCGR3B	
FCGRT	
FCMR	
FDXR	'accumulation of reactive oxygen species'
FEN1	'nuclear DNA instability','telomere attrition'
FERMT2	
FES	'intercellular communication impairment'
FEZ1	'impairment of the mitochondrial integrity and biogenesis'
FEZ2	
FGF1	'transcriptional alterations'
FGF12	'intercellular communication impairment'
FGF13	'intercellular communication impairment'
FGF2	'transcriptional alterations','intercellular communication impairment'
FGF21	'intercellular communication impairment'
FGF23	'intercellular communication impairment'
FGFR1	
FGFR2	'transcriptional alterations','stem cell exhaustion','intercellular communication impairment'
FGFR3	'intercellular communication impairment'
FH	'nuclear DNA instability'
FHOD1	'transcriptional alterations'
FJX1	'intercellular communication impairment'
FKBP14	
FKBP1A	'impairment of proteins folding and stability'
FKBP5	'impairment of proteins folding and stability'
FLI1	'transcriptional alterations'
FLJ22555	'impairment of the mitochondrial integrity and biogenesis'
FLNA	
FLNB	
FLOT1	'changes in the extracellular matrix structure'
FLOT2	
FLRT3	
FLT1	
FLT3LG	
FLVCR2	
FN1	'sterile inflammation','changes in the extracellular matrix structure'
FN3KRP	
FNTA	
FOLH1	'degradation of proteolytic systems'
FOLH1B	'degradation of proteolytic systems'
FOLR1	'intercellular communication impairment'
FOLR2	'sterile inflammation','intercellular communication impairment'
FOS	'transcriptional alterations','alterations in DNA methylation','sterile inflammation','intercellular communication impairment'
FOSL2	'transcriptional alterations'
FOXC1	'transcriptional alterations'
FOXG1	'transcriptional alterations'
FOXJ3	'transcriptional alterations'
FOXM1	'nuclear DNA instability','transcriptional alterations'
FOXN3	'transcriptional alterations'
FOXO1	'nuclear DNA instability','transcriptional alterations','INS/IGF-1 pathway dysregulation','stem cell exhaustion','intercellular communication impairment','disabled macroautophagy'
FOXO3	'transcriptional alterations','impairment of the mitochondrial integrity and biogenesis','stem cell exhaustion','intercellular communication impairment'
FOXO4	'transcriptional alterations','INS/IGF-1 pathway dysregulation','stem cell exhaustion'
FPGT-TNNI3K	'intercellular communication impairment'
FRK	'transcriptional alterations'
FRMPD4	
FRY	
FRZB	'stem cell exhaustion'
FSHR	
FST	'transcriptional alterations'
FSTL5	
FTH1P5	
FTL	
FUBP3	'transcriptional alterations'
FUNDC2	'impairment of the mitochondrial integrity and biogenesis','disabled macroautophagy'
FURIN	'degradation of proteolytic systems','changes in the extracellular matrix structure'
FUS	'transcriptional alterations'
FUT6	
FXN	'degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'
FXR1	
FXYD5	
FYN	'sterile inflammation'
FZD2	
FZD3	
FZD7	'stem cell exhaustion'
FZD8	
FZR1	'nuclear DNA instability','degradation of proteolytic systems','senescent cells accumulation'
G3BP1	'nuclear DNA instability'
G3BP2	
G6PD	'accumulation of reactive oxygen species'
GABPA	'transcriptional alterations'
GABRB3	'intercellular communication impairment'
GABRD	'intercellular communication impairment'
GAD1	'intercellular communication impairment'
GADD45A	'nuclear DNA instability','transcriptional alterations'
GADD45G	
GAL3ST4	'intercellular communication impairment'
GALK2	
GALNT7	
GAPVD1	
GART	
GATAD1	'chromatin remodeling'
GATM	
GCLC	'impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'
GCLM	'impairment of the mitochondrial integrity and biogenesis'
GCN1	'intercellular communication impairment'
GDA	
GDE1	
