HGNC	hallmarks of aging
GDF1	'SIRT pathway dysregulation'
GDF11	
GDF15	'intercellular communication impairment'
GDI2	
GET4	'degradation of proteolytic systems'
GFAP	
GFPT1	
GFRA2	
GGA2	
GGA3	
GGH	
GGT1	'degradation of proteolytic systems'
GGT7	
GH1	'INS/IGF-1 pathway dysregulation'
GHR	'INS/IGF-1 pathway dysregulation'
GHRH	'INS/IGF-1 pathway dysregulation','intercellular communication impairment'
GHRHR	'INS/IGF-1 pathway dysregulation'
GHRL	
GHSR	'INS/IGF-1 pathway dysregulation'
GIPC1	'intercellular communication impairment'
GIT2	
GJA1	'intercellular communication impairment'
GLE1	
GLG1	'degradation of proteolytic systems'
GLO1	'transcriptional alterations'
GLRX	'accumulation of reactive oxygen species'
GLRX2	'nuclear DNA instability','accumulation of reactive oxygen species','intercellular communication impairment'
GLRX3	'accumulation of reactive oxygen species'
GLUD1	'accumulation of reactive oxygen species'
GLYR1	'transcriptional alterations','accumulation of reactive oxygen species'
GMFB	
GNA11	
GNA12	'TOR pathway dysregulation'
GNA13	
GNAQ	
GNB5	
GNE	
GNG11	
GNG12	
GNPNAT1	
GNPTG	
GOLGA4	
GOLGB1	
GORASP2	
GOSR2	
GOT2	
GP5	
GPC4	
GPC5	
GPCPD1	
GPR137B	'TOR pathway dysregulation','disabled macroautophagy'
GPRC5B	
GPX1	'accumulation of reactive oxygen species'
GPX4	'accumulation of reactive oxygen species'
GRAMD2B	
GRAP2	'intercellular communication impairment'
GRHPR	'accumulation of reactive oxygen species'
GRIA1	'intercellular communication impairment'
GRIK2	'intercellular communication impairment'
GRIN2A	'degradation of proteolytic systems','intercellular communication impairment'
GRK2	
GRK5	
GRN	
GRSF1	
GSK3A	'transcriptional alterations','alterations in DNA methylation','degradation of proteolytic systems','TOR pathway dysregulation','INS/IGF-1 pathway dysregulation','impairment of the mitochondrial integrity and biogenesis'
GSK3B	'degradation of proteolytic systems','INS/IGF-1 pathway dysregulation','impairment of the mitochondrial integrity and biogenesis'
GSN	'changes in the extracellular matrix structure'
GSPT1	
GSR	'accumulation of reactive oxygen species'
GSS	
GSTA4	
GSTP1	'accumulation of reactive oxygen species'
GSTZ1	'accumulation of reactive oxygen species'
GUSBP1	
GYG1	
GYPC	
H1-10	'nuclear DNA instability','chromatin remodeling'
H2AC6	
H3-3B	'nuclear DNA instability','chromatin remodeling'
H4C3	'nuclear DNA instability','chromatin remodeling'
HABP4	'nuclear architecture impairment'
HADHA	'accumulation of reactive oxygen species'
HAUS7	
HBA1	'accumulation of reactive oxygen species'
HBA2	'accumulation of reactive oxygen species'
HBB	'accumulation of reactive oxygen species'
HBP1	'transcriptional alterations'
HCCS	
HCRTR2	'intercellular communication impairment'
HDAC1	'alterations in histone modifications','chromatin remodeling','transcriptional alterations'
HDAC2	'alterations in histone modifications','chromatin remodeling','transcriptional alterations'
HDAC3	'alterations in histone modifications','transcriptional alterations','TOR pathway dysregulation'
HDAC4	'alterations in histone modifications','chromatin remodeling','transcriptional alterations','sterile inflammation'
HDAC5	'alterations in histone modifications','chromatin remodeling','transcriptional alterations','sterile inflammation'
HDAC9	'alterations in histone modifications','transcriptional alterations','sterile inflammation'
HEBP2	'impairment of the mitochondrial integrity and biogenesis'
HELLS	'chromatin remodeling','alterations in DNA methylation'
HEPH	'accumulation of reactive oxygen species'
HERC1	'disabled macroautophagy'
HERC2P2	
HERC3	'degradation of proteolytic systems'
HERC4	'degradation of proteolytic systems'
HERC6	'degradation of proteolytic systems'
HGH1	
HGS	
HIBADH	'accumulation of reactive oxygen species'
HIBCH	
HIC1	'transcriptional alterations'
HIF1A	'transcriptional alterations','TOR pathway dysregulation'
HILPDA	'intercellular communication impairment'
HINFP	'nuclear DNA instability','transcriptional alterations'
HIPK3	'transcriptional alterations'
HLA-B	
HLA-C	
HLA-DMA	
HLA-DMB	
HLA-DOA	
HLA-DPA1	
HLA-DPB1	
HLA-DQA1	
HLA-DQB1	
HLA-DRA	
HLA-DRB1	'sterile inflammation'
HLA-DRB3	
HLA-DRB4	
HLA-DRB5	
HLA-DRB6	
HLA-E	
HLA-F	
HLA-G	'senescent cells accumulation'
HMBS	
HMGB1	'nuclear DNA instability','chromatin remodeling','transcriptional alterations','sterile inflammation','disabled macroautophagy'
HMGB2	'nuclear DNA instability','nuclear architecture impairment','chromatin remodeling','transcriptional alterations','sterile inflammation'
HMGN2	
HMGXB4	
HMOX2	'accumulation of reactive oxygen species'
HNF4A	'transcriptional alterations'
HNF4G	'transcriptional alterations'
HNRNPA1	'intercellular communication impairment'
HNRNPAB	
HNRNPC	'chromatin remodeling'
HNRNPD	
HNRNPH2	
HNRNPH3	
HNRNPK	'transcriptional alterations'
HNRNPL	'intercellular communication impairment'
HNRNPM	
HNRNPR	
HNRNPU	'transcriptional alterations'
HOPX	'alterations in histone modifications','transcriptional alterations'
HOXB2	'transcriptional alterations'
HOXB7	'transcriptional alterations'
HOXC4	'transcriptional alterations'
HP	'degradation of proteolytic systems','sterile inflammation'
HPCAL1	
HPGD	'accumulation of reactive oxygen species'
HPN	'degradation of proteolytic systems','changes in the extracellular matrix structure'
HPRT1	
HRAS	'transcriptional alterations','INS/IGF-1 pathway dysregulation','senescent cells accumulation'
HSD11B1	'accumulation of reactive oxygen species'
HSD17B6	'accumulation of reactive oxygen species'
HSD17B7	'accumulation of reactive oxygen species'
HSF1	'nuclear DNA instability','transcriptional alterations'
HSF2	'transcriptional alterations'
HSP90AA1	'nuclear DNA instability','telomere attrition','impairment of proteins folding and stability','impairment of the mitochondrial integrity and biogenesis'
HSP90AB1	'nuclear DNA instability','telomere attrition','impairment of proteins folding and stability'
HSP90B1	'impairment of proteins folding and stability','degradation of proteolytic systems'
HSPA13	'impairment of proteins folding and stability'
HSPA14	'impairment of proteins folding and stability'
HSPA1A	
HSPA1B	
HSPA2	'nuclear DNA instability','impairment of proteins folding and stability'
HSPA8	'impairment of proteins folding and stability','intercellular communication impairment'
HSPA9	'impairment of proteins folding and stability','impairment of the mitochondrial integrity and biogenesis'
HSPB8	
HSPD1	'impairment of proteins folding and stability','impairment of the mitochondrial integrity and biogenesis'
HTATSF1	'transcriptional alterations'
HTR1B	'intercellular communication impairment'
HTR2A	'intercellular communication impairment'
HTR3B	'intercellular communication impairment'
HTRA1	'degradation of proteolytic systems'
HTRA2	'degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis'
HTT	
HYI	
HYKK	
HYPK	'impairment of proteins folding and stability'
ICAM1	
ICAM2	
ID2	'transcriptional alterations','senescent cells accumulation'
IDE	'degradation of proteolytic systems','INS/IGF-1 pathway dysregulation'
IDH1	'accumulation of reactive oxygen species'
IDH3A	'accumulation of reactive oxygen species'
IDS	
IFI16	'transcriptional alterations','degradation of proteolytic systems','sterile inflammation','intercellular communication impairment','disabled macroautophagy'
IFNAR1	
IFNG	'transcriptional alterations','sterile inflammation'
IGBP1	'transcriptional alterations'
IGF1	'transcriptional alterations','INS/IGF-1 pathway dysregulation'
IGF1R	'INS/IGF-1 pathway dysregulation','senescent cells accumulation','intercellular communication impairment'
IGF2	'transcriptional alterations','INS/IGF-1 pathway dysregulation'
IGF2R	'INS/IGF-1 pathway dysregulation'
IGFBP2	'INS/IGF-1 pathway dysregulation'
IGFBP3	'INS/IGF-1 pathway dysregulation'
IGFBP4	'INS/IGF-1 pathway dysregulation','sterile inflammation'
IGFBP5	'INS/IGF-1 pathway dysregulation'
IGFBP6	'INS/IGF-1 pathway dysregulation'
IKBKB	'transcriptional alterations','sterile inflammation'
IKZF1	'transcriptional alterations'
IL15	'sterile inflammation','intercellular communication impairment'
IL15RA	
IL16	
IL17RC	'sterile inflammation'
IL18	'transcriptional alterations','sterile inflammation','intercellular communication impairment'
IL1B	'transcriptional alterations','sterile inflammation','intercellular communication impairment'
IL1RN	'sterile inflammation'
IL2	'transcriptional alterations','intercellular communication impairment'
IL33	'transcriptional alterations'
IL6	'transcriptional alterations','sterile inflammation'
IL6ST	
IL7	'intercellular communication impairment'
IL7R	
ILF2	
IMMT	'impairment of the mitochondrial integrity and biogenesis'
IMPG1	'changes in the extracellular matrix structure'
ING1	'transcriptional alterations'
ING2	'transcriptional alterations','senescent cells accumulation','stem cell exhaustion'
INHBB	'intercellular communication impairment'
INPP1	
INPP4A	
INPP4B	
INPP5K	
INS	'INS/IGF-1 pathway dysregulation','sterile inflammation','intercellular communication impairment'
INSR	'INS/IGF-1 pathway dysregulation'
INVS	
IP6K3	
IQGAP1	
IRAG2	'nuclear architecture impairment'
IRF7	'nuclear DNA instability','transcriptional alterations'
IRS1	'INS/IGF-1 pathway dysregulation'
IRS2	'INS/IGF-1 pathway dysregulation'
ISCA1	
ITCH	'degradation of proteolytic systems','sterile inflammation'
ITGA2	
ITGA3	
ITGA4	
ITGA6	'transcriptional alterations','INS/IGF-1 pathway dysregulation'
ITGAE	
ITGAV	'INS/IGF-1 pathway dysregulation'
ITGB1	'stem cell exhaustion','sterile inflammation'
ITGB1BP2	
ITGB2	'sterile inflammation','intercellular communication impairment'
ITGB3	'INS/IGF-1 pathway dysregulation'
ITK	
ITM2A	
ITM2B	
ITPKA	
ITPKB	
ITPR2	
ITPRID2	
JAK1	
JAK2	'alterations in histone modifications','transcriptional alterations'
JMJD1A	'nuclear architecture impairment','alterations in histone modifications','transcriptional alterations','accumulation of reactive oxygen species'
JUN	'transcriptional alterations'
JUND	'transcriptional alterations'
KALRN	
KATNB1	
KAZALD1	'INS/IGF-1 pathway dysregulation'
KBTBD6	'degradation of proteolytic systems'
KCNA3	
KCNA5	
KCNJ16	
KCNJ9	
KCNK17	
KCNK3	'intercellular communication impairment'
KCNK4	
KCNT2	
KDM1A	'nuclear DNA instability','alterations in histone modifications','transcriptional alterations','accumulation of reactive oxygen species'
KDM2A	'nuclear DNA instability','alterations in histone modifications','transcriptional alterations','accumulation of reactive oxygen species'
KDM3B	'alterations in histone modifications','transcriptional alterations','accumulation of reactive oxygen species'
KDM5B	'alterations in histone modifications','chromatin remodeling','accumulation of reactive oxygen species'
KDM6B	'alterations in histone modifications','chromatin remodeling','transcriptional alterations','accumulation of reactive oxygen species','sterile inflammation'
KDM7A	'alterations in histone modifications','transcriptional alterations','accumulation of reactive oxygen species'
KDR	
KDSR	'accumulation of reactive oxygen species'
KHDRBS1	'transcriptional alterations'
KIAA1143	
KIAA1217	
KIF13B	
KIF1B	'intercellular communication impairment'
KIF2A	
KIF2C	
KIF3B	
KIF5B	
KIR3DX1	
KL	'INS/IGF-1 pathway dysregulation','sterile inflammation'
KLC1	
KLF13	'transcriptional alterations'
KLF3	'transcriptional alterations'
KLF4	'transcriptional alterations','stem cell exhaustion'
KLF5	'transcriptional alterations','intercellular communication impairment'
KLF6	'transcriptional alterations'
KLF7	'transcriptional alterations'
KLF9	'transcriptional alterations'
KLRD1	
KLRF1	
KPNA4	
KPNA5	
KRAS	'intercellular communication impairment'
KRT1	
KRT10	
KTN1	
LACTB	'degradation of proteolytic systems'
LAIR1	
LAMA2	'changes in the extracellular matrix structure'
LAMA3	'changes in the extracellular matrix structure'
LAMA4	'changes in the extracellular matrix structure'
LAMA5	'changes in the extracellular matrix structure'
LAMB1	'changes in the extracellular matrix structure'
LAMB2	'changes in the extracellular matrix structure'
LAMB3	'changes in the extracellular matrix structure'
LAMC2	'changes in the extracellular matrix structure'
LAMP2	'intercellular communication impairment'
LAMTOR2	'TOR pathway dysregulation'
LAMTOR5	'TOR pathway dysregulation'
LBH	
LCK	
LDLR	
LDLRAP1	
LEF1	'alterations in histone modifications','transcriptional alterations'
LEP	'transcriptional alterations','TOR pathway dysregulation','intercellular communication impairment'
LEPR	
LGALS1	
LGI1	
LGI4	
LGR5	
LGTN	
LIMCH1	
LIMK2	
LINS1	
LIPT1	
LITAF	'transcriptional alterations'
LMAN1	
LMNA	'nuclear DNA instability','nuclear architecture impairment','chromatin remodeling','senescent cells accumulation'
LMNB1	'nuclear architecture impairment','chromatin remodeling'
LNPEP	'degradation of proteolytic systems','intercellular communication impairment'
LNPK	
LOC105369165	
LOC105377989	
LOC105377992	
LOC107985852	
LONP1	'mitochondrial DNA instability','degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis'
LOX	'accumulation of reactive oxygen species','changes in the extracellular matrix structure'
LOXL4	'accumulation of reactive oxygen species'
LPA	'degradation of proteolytic systems'
LPAR6	
LPIN1	'nuclear architecture impairment','transcriptional alterations'
LPP	
LRP1B	
LRP2	'INS/IGF-1 pathway dysregulation'
LRP4	
LRP8	'degradation of proteolytic systems','intercellular communication impairment'
LRRFIP1	'transcriptional alterations'
LSM10	
LSM2	
LSM4	
LSS	
LST1	
LTBP1	'changes in the extracellular matrix structure'
LTBP2	'changes in the extracellular matrix structure'
LY6G5C	
LY6G6F	
LYPLA1	
LYVE1	
MACF1	
MAD1L1	
MADD	
MAF	'transcriptional alterations'
MAFF	'transcriptional alterations'
MAFG	'transcriptional alterations'
MAGED1	'transcriptional alterations'
MAGED2	'transcriptional alterations'
MAGI3	
MAL	
MAN1A2	
MAN1C1	
MAN2A1	'impairment of the mitochondrial integrity and biogenesis'
MAOA	'accumulation of reactive oxygen species'
MAP1B	
MAP2K4	'senescent cells accumulation'
MAP3K2	
MAP3K5	'senescent cells accumulation','intercellular communication impairment'
MAP3K7	'alterations in histone modifications','sterile inflammation'
MAP3K7CL	
MAP3K8	
MAP3K9	
MAP4	
MAP4K1	
MAP4K3	
MAPK1	'nuclear DNA instability','INS/IGF-1 pathway dysregulation','intercellular communication impairment'
MAPK10	'senescent cells accumulation'
MAPK14	'transcriptional alterations','senescent cells accumulation','stem cell exhaustion'
MAPK3	'transcriptional alterations','INS/IGF-1 pathway dysregulation','intercellular communication impairment'
MAPK4	
MAPK8	'impairment of the mitochondrial integrity and biogenesis','senescent cells accumulation','intercellular communication impairment'
MAPK8IP3	
MAPK9	'senescent cells accumulation'
MAPKAP1	'TOR pathway dysregulation','intercellular communication impairment'
MAPRE2	
MAPT	'impairment of the mitochondrial integrity and biogenesis','intercellular communication impairment'
MARK1	
MAT2A	
MATR3	
MAX	'transcriptional alterations','intercellular communication impairment'
MBD4	'nuclear DNA instability'
MBNL1	
MBNL2	
MBOAT1	
MBP	'intercellular communication impairment'
MC2R	
MC4R	
MCL1	
MCM4	'nuclear DNA instability'
MCM7	'nuclear DNA instability'
MCTS1	'nuclear DNA instability'
MDC1	'nuclear DNA instability'
MDH2	'accumulation of reactive oxygen species'
MDM2	'transcriptional alterations','degradation of proteolytic systems'
ME1	'accumulation of reactive oxygen species'
ME3	'accumulation of reactive oxygen species'
MED16	'transcriptional alterations'
MED21	'transcriptional alterations','stem cell exhaustion'
MED28	'stem cell exhaustion'
MEGF8	
METTL1	
MFAP3L	
MFHAS1	'sterile inflammation'
MGAT4A	
MGAT5	
MGP	'changes in the extracellular matrix structure'
MGST1	'accumulation of reactive oxygen species'
MGST2	'accumulation of reactive oxygen species'
MICA	'nuclear DNA instability'
MICB	
MICOS13	'impairment of the mitochondrial integrity and biogenesis'
MID1IP1	
MID2	
MIER2	'alterations in histone modifications','transcriptional alterations'
MIF	'senescent cells accumulation','sterile inflammation'
MIPEP	'degradation of proteolytic systems'
MIR3156-3	
MKKS	
MKRN1	
MLC1	
MLF1	'transcriptional alterations'
MLH1	'nuclear DNA instability'
MLH3	'nuclear DNA instability'
MLXIP	'transcriptional alterations'
MMP1	'degradation of proteolytic systems','changes in the extracellular matrix structure'
MMP12	'transcriptional alterations','degradation of proteolytic systems','changes in the extracellular matrix structure'
MMP13	'degradation of proteolytic systems','changes in the extracellular matrix structure'
MMP14	'degradation of proteolytic systems','changes in the extracellular matrix structure'
MMP16	'degradation of proteolytic systems'
MMP17	'degradation of proteolytic systems'
MMP2	'degradation of proteolytic systems','changes in the extracellular matrix structure'
MMP20	'degradation of proteolytic systems','changes in the extracellular matrix structure'
MMP25	'degradation of proteolytic systems','sterile inflammation'
MMP27	'degradation of proteolytic systems'
MMP3	'degradation of proteolytic systems','changes in the extracellular matrix structure'
MMP7	'degradation of proteolytic systems','changes in the extracellular matrix structure'
MMP9	'degradation of proteolytic systems','changes in the extracellular matrix structure'
MOCS2	
MORF4	
MORF4L2	'nuclear DNA instability','alterations in histone modifications'
MOSPD1	'transcriptional alterations'
MPC1	
MPHOSPH8	'alterations in DNA methylation'
MPZL2	
MR1	
MRC1	
MRE11	'nuclear DNA instability','telomere attrition'
MRPL12	'transcriptional alterations','impairment of the mitochondrial integrity and biogenesis'
MRPL13	'impairment of the mitochondrial integrity and biogenesis'
MRPL15	'impairment of the mitochondrial integrity and biogenesis'
MRPL28	'impairment of the mitochondrial integrity and biogenesis'
MRPL30	'impairment of the mitochondrial integrity and biogenesis'
MRPL34	'impairment of the mitochondrial integrity and biogenesis'
MRPL35	'impairment of the mitochondrial integrity and biogenesis'
MRPL40	'impairment of the mitochondrial integrity and biogenesis'
MRPL41	'impairment of the mitochondrial integrity and biogenesis'
MRPL42	'impairment of the mitochondrial integrity and biogenesis'
MRPL48	'impairment of the mitochondrial integrity and biogenesis'
MRPL49	'impairment of the mitochondrial integrity and biogenesis'
MRPS12	'impairment of the mitochondrial integrity and biogenesis'
MRPS16	'impairment of the mitochondrial integrity and biogenesis'
MRPS18B	'impairment of the mitochondrial integrity and biogenesis'
MRPS24	'impairment of the mitochondrial integrity and biogenesis'
MRPS25	'impairment of the mitochondrial integrity and biogenesis'
MRPS28	'impairment of the mitochondrial integrity and biogenesis'
MRPS33	'impairment of the mitochondrial integrity and biogenesis'
MRPS5	'impairment of the mitochondrial integrity and biogenesis'
MSH2	'nuclear DNA instability'
MSH5	'nuclear DNA instability'
MSH6	'nuclear DNA instability'
MSN	
MSRA	'accumulation of reactive oxygen species'
MSRB2	'accumulation of reactive oxygen species'
MSTN	
MT-ATP6	
MT-CO1	'accumulation of reactive oxygen species'
MT-CYB	'accumulation of reactive oxygen species'
MT-ND4	'accumulation of reactive oxygen species'
MT-RNR1	
MT-RNR2	
MT1E	
MT1G	
MT1L	
MT1X	
MT2A	
MTA2	'alterations in histone modifications','chromatin remodeling','transcriptional alterations','alterations in DNA methylation'
MTBP	
MTFP1	'impairment of the mitochondrial integrity and biogenesis'
MTHFD1	'accumulation of reactive oxygen species'
MTHFR	'chromatin remodeling','accumulation of reactive oxygen species'
MTIF2	
MTIF3	
MTMR2	
MTMR4	
MTO1	'impairment of the mitochondrial integrity and biogenesis'
MTOR	'nuclear DNA instability','TOR pathway dysregulation','sterile inflammation','intercellular communication impairment'
MTR	
MTRR	'alterations in DNA methylation','accumulation of reactive oxygen species'
MTSS1	
MTTP	
MTUS1	
MTX2	'impairment of the mitochondrial integrity and biogenesis'
MXD1	'transcriptional alterations'
MXI1	'transcriptional alterations'
MXRA8	
MYBL1	'transcriptional alterations'
MYC	'nuclear DNA instability','chromatin remodeling','transcriptional alterations','alterations in DNA methylation'
MYD88	'sterile inflammation'
MYH8	
MYL10	
MYL12A	
MYO10	
MYO18A	
MYO6	'nuclear DNA instability','transcriptional alterations'
MYOF	
MZF1	'transcriptional alterations'
NAA38	
NABP2	'nuclear DNA instability'
NAMPT	'transcriptional alterations','INS/IGF-1 pathway dysregulation','intercellular communication impairment'
NAP1L1	'chromatin remodeling'
NAP1L2	'alterations in histone modifications','chromatin remodeling'
NAPA	'intercellular communication impairment'
NAPB	'intercellular communication impairment'
NAPG	
NBN	'nuclear DNA instability','telomere attrition'
NBR1	
NCAM2	
NCBP2AS2	
NCF4	'accumulation of reactive oxygen species'
NCK1	'transcriptional alterations'
NCOA2	'transcriptional alterations'
NCOA3	'alterations in histone modifications','transcriptional alterations'
NCOR2	'transcriptional alterations'
NDC1	'nuclear DNA instability','nuclear architecture impairment'
NDEL1	'nuclear architecture impairment','INS/IGF-1 pathway dysregulation'
NDFIP1	'degradation of proteolytic systems'
NDST1	'sterile inflammation'
NDUFA9	'accumulation of reactive oxygen species'
NDUFAF7	
NDUFB10	'accumulation of reactive oxygen species'
NDUFB3	'accumulation of reactive oxygen species'
NDUFB8	'accumulation of reactive oxygen species'
NDUFS2	'impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'
NDUFS3	'accumulation of reactive oxygen species'
NDUFS4	'accumulation of reactive oxygen species'
NDUFS5	'accumulation of reactive oxygen species'
NDUFV3	'impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'
NEBL	
NECAB3	
NECTIN2	'nuclear architecture impairment','impairment of the mitochondrial integrity and biogenesis'
NECTIN3	
NEDD4	'degradation of proteolytic systems'
NEK11	
NEK7	
NEK9	
NELL2	
NEU1	
NF1	'intercellular communication impairment'
NFATC2	'nuclear DNA instability','transcriptional alterations'
NFATC3	'transcriptional alterations','sterile inflammation'
NFE2L1	'transcriptional alterations'
NFE2L2	'transcriptional alterations','degradation of proteolytic systems','accumulation of reactive oxygen species','sterile inflammation','intercellular communication impairment'
NFKB1	'transcriptional alterations','sterile inflammation'
NFKB2	'transcriptional alterations'
NFKBIA	'transcriptional alterations','sterile inflammation'
NFX1	'transcriptional alterations','sterile inflammation'
NFYA	'alterations in histone modifications','transcriptional alterations'
NFYB	'alterations in histone modifications','transcriptional alterations'
NFYC	'alterations in histone modifications','transcriptional alterations'
NGB	
NGF	
NGFR	
NHLRC1	'degradation of proteolytic systems','disabled macroautophagy'
NIPBL	'nuclear DNA instability','transcriptional alterations','stem cell exhaustion'
NIPSNAP1	
NIPSNAP3B	
NISCH	
NKTR	
NKX2-2	'transcriptional alterations'
NKX3-1	'transcriptional alterations','INS/IGF-1 pathway dysregulation'
NLRC5	'transcriptional alterations'
NLRP1	'degradation of proteolytic systems','sterile inflammation'
NLRP3	'transcriptional alterations','sterile inflammation'
NMB	'intercellular communication impairment'
NME1	
NME2	'transcriptional alterations'
NME3	
NNMT	
NNT	'accumulation of reactive oxygen species'
NOG	'transcriptional alterations','stem cell exhaustion'
NOP56	
NOS1	'transcriptional alterations','accumulation of reactive oxygen species','intercellular communication impairment'
NOS1AP	
NOS3	'impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'
NOTCH1	'transcriptional alterations','stem cell exhaustion','sterile inflammation'
NOTCH2	'transcriptional alterations','sterile inflammation'
NOTCH3	'transcriptional alterations'
NOTCH4	'transcriptional alterations'
NOX4	'accumulation of reactive oxygen species','sterile inflammation'
NPC1	'TOR pathway dysregulation','disabled macroautophagy'
NPM1	'nuclear DNA instability','chromatin remodeling','transcriptional alterations','senescent cells accumulation'
NR1D1	'transcriptional alterations','degradation of proteolytic systems'
NR1D2	'transcriptional alterations'
NR2C2	'transcriptional alterations'
NR2F2	'transcriptional alterations'
NR3C1	'transcriptional alterations','sterile inflammation','intercellular communication impairment'
NR4A1	'transcriptional alterations'
NR4A2	'transcriptional alterations','intercellular communication impairment'
NR4A3	'transcriptional alterations'
NRCAM	
NRG1	'transcriptional alterations','stem cell exhaustion','intercellular communication impairment'
NRIP1	'transcriptional alterations'
NRM	
NRXN1	
NSF	
NSG1	'intercellular communication impairment'
NT5C2	
NTMT1	'alterations in histone modifications'
NUDT1	'nuclear DNA instability','intercellular communication impairment'
NUDT12	
NUDT21	
NUDT4	
NUDT6	
NUDT8	
NUMA1	'nuclear architecture impairment'
NUP153	'nuclear architecture impairment'
NUP188	
NUP43	
NUP50	
NUP58	
NUP62	'senescent cells accumulation'
NUP88	
NUP98	'nuclear architecture impairment','degradation of proteolytic systems'
NUSAP1	'nuclear DNA instability'
NUTF2	
NXT2	
OAS2	
OCRL	
OFD1	
OGFOD2	'accumulation of reactive oxygen species'
OGG1	'nuclear DNA instability','sterile inflammation'
OGT	'alterations in histone modifications','transcriptional alterations','degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis','disabled macroautophagy'
OLFM1	
OLFM4	
OLIG2	'transcriptional alterations'
OPN3	
OR10C1	
ORC5	
OSBPL3	
OSBPL8	
OSBPL9	
OTOL1	'changes in the extracellular matrix structure'
OTUD4	'degradation of proteolytic systems'
OXA1L	'impairment of the mitochondrial integrity and biogenesis'
P2RX5	
P2RY14	
PABPC4	
PACS1	
PAFAH1B1	'nuclear architecture impairment','stem cell exhaustion','intercellular communication impairment'
PAFAH1B3	
PAIP1	
PAK1	'nuclear DNA instability','chromatin remodeling'
PAK1IP1	
PALLD	
PAM	'transcriptional alterations','accumulation of reactive oxygen species'
PANK3	
PANK4	
PANX1	'intercellular communication impairment'
PANX2	'intercellular communication impairment'
PAPOLA	
PAPPA	'degradation of proteolytic systems'
PAPSS1	
PAQR9	
PARD6A	
PARK7	'nuclear DNA instability','alterations in histone modifications','transcriptional alterations','degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species','sterile inflammation','disabled macroautophagy'
PARP1	'mitochondrial DNA instability','nuclear DNA instability','telomere attrition','transcriptional alterations','alterations in DNA methylation','degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis'
PARVG	
PATZ1	'transcriptional alterations'
PAWR	'transcriptional alterations','senescent cells accumulation'
PBXIP1	'alterations in histone modifications','sterile inflammation','changes in the extracellular matrix structure'
PCBD1	'accumulation of reactive oxygen species'
PCBD2	'accumulation of reactive oxygen species'
PCCA	
PCDH17	
PCGF2	'alterations in histone modifications','transcriptional alterations'
PCK1	'intercellular communication impairment'
PCMT1	
PCNA	'nuclear DNA instability','telomere attrition','transcriptional alterations'
PCNT	
PCSK9	'degradation of proteolytic systems','intercellular communication impairment'
PCTP	
PDCD4	
PDE3B	
PDE4A	
PDE4B	
PDE4D	
PDE4DIP	
PDE9A	
PDGFB	'accumulation of reactive oxygen species','intercellular communication impairment'
PDGFRA	
PDGFRB	
PDHA1	'accumulation of reactive oxygen species'
PDHB	'accumulation of reactive oxygen species'
PDK1	
PDK3	
PDLIM5	
PDS5A	'nuclear DNA instability'
PDSS1	
PECAM1	
PECR	'accumulation of reactive oxygen species'
