HGNC	hallmarks of aging
PEDS1	'accumulation of reactive oxygen species'
PENK	'intercellular communication impairment'
PER2	'alterations in histone modifications','transcriptional alterations'
PERP	'degradation of proteolytic systems'
PET117	
PEX1	
PEX16	
PEX5	'impairment of proteins folding and stability','impairment of the mitochondrial integrity and biogenesis'
PFDN4	
PFKFB1	
PFKM	'transcriptional alterations'
PGGT1B	
PGK1	'degradation of proteolytic systems','accumulation of reactive oxygen species'
PGM5	
PGP	
PGPEP1	'degradation of proteolytic systems'
PHF20	'alterations in histone modifications','transcriptional alterations'
PHF3	'transcriptional alterations'
PHLDA1	
PHLPP1	
PHTF2	
PICALM	
PIERCE1	'nuclear DNA instability'
PIGK	'degradation of proteolytic systems'
PIGP	
PIK3C2A	'INS/IGF-1 pathway dysregulation'
PIK3CA	'alterations in DNA methylation','TOR pathway dysregulation','INS/IGF-1 pathway dysregulation'
PIK3CB	'disabled macroautophagy'
PIK3CD	'sterile inflammation'
PIK3R1	'transcriptional alterations','INS/IGF-1 pathway dysregulation'
PIN1	'transcriptional alterations'
PIP4K2B	
PITPNA	
PITPNB	'nuclear architecture impairment'
PITPNM1	
PKHD1	'TOR pathway dysregulation'
PKM	
PKN2	
PLA2G4B	'sterile inflammation'
PLAG1	'transcriptional alterations'
PLAGL1	'transcriptional alterations'
PLAU	'degradation of proteolytic systems'
PLCB1	'INS/IGF-1 pathway dysregulation'
PLCB4	
PLCE1	
PLCG2	
PLCH1	
PLCL1	'intercellular communication impairment'
PLCL2	'intercellular communication impairment'
PLD3	'sterile inflammation'
PLEK	
PLIN3	'intercellular communication impairment'
PLP1	'sterile inflammation','intercellular communication impairment'
PLPP1	
PLSCR3	
PLXNB1	
PLXNC1	
PMAIP1	'nuclear DNA instability','degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species','intercellular communication impairment'
PMCH	'intercellular communication impairment'
PMF1	'transcriptional alterations'
PML	'nuclear architecture impairment','degradation of proteolytic systems','senescent cells accumulation'
PMP22	'intercellular communication impairment'
PNKP	'nuclear DNA instability'
PNPLA6	
PODXL	
POLA1	'nuclear DNA instability'
POLB	'nuclear DNA instability','sterile inflammation'
POLD1	'nuclear DNA instability'
POLD4	
POLE4	
POLG	
POLI	'nuclear DNA instability'
POLR1F	'nuclear DNA instability'
POLR2J2	'nuclear DNA instability','transcriptional alterations'
POLR3K	'nuclear DNA instability','transcriptional alterations'
POLRMT	'transcriptional alterations','impairment of the mitochondrial integrity and biogenesis'
POM121C	
POMT1	
PON1	
PON2	
POP5	
PORCN	
POU1F1	'transcriptional alterations'
POU5F1	'transcriptional alterations','stem cell exhaustion'
PPARA	'transcriptional alterations','intercellular communication impairment'
PPARG	'transcriptional alterations'
PPARGC1A	'transcriptional alterations','impairment of the mitochondrial integrity and biogenesis'
PPFIA1	
PPIA	
PPIC	
PPIF	'impairment of the mitochondrial integrity and biogenesis'
PPM1B	
PPM1D	'chromatin remodeling','alterations in DNA methylation','intercellular communication impairment'
PPM1E	
PPM1H	
PPP1CA	
PPP1R13B	
PPP1R2	
PPP1R26	
PPP2R1A	'nuclear DNA instability'
PPP2R2C	
PPP2R5C	'degradation of proteolytic systems'
PPP3R1	'transcriptional alterations'
PRDX1	'accumulation of reactive oxygen species'
PRDX3	'impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'
PRDX6	'accumulation of reactive oxygen species'
PREPL	'degradation of proteolytic systems'
PRIM1	'nuclear DNA instability'
PRKACB	'AMPK pathway dysregulation'
PRKAG1	'AMPK pathway dysregulation','intercellular communication impairment'
PRKAR1A	'transcriptional alterations','AMPK pathway dysregulation'
PRKAR2A	'AMPK pathway dysregulation'
PRKAR2B	'AMPK pathway dysregulation'
PRKCA	'nuclear architecture impairment','alterations in histone modifications'
PRKCB	'nuclear architecture impairment','alterations in histone modifications','transcriptional alterations'
PRKCD	'senescent cells accumulation'
PRKCG	'intercellular communication impairment'
PRKCH	
PRKCI	
PRKCQ	'degradation of proteolytic systems','sterile inflammation'
PRKCZ	'sterile inflammation'
PRKD3	
PRKDC	'nuclear DNA instability','telomere attrition','transcriptional alterations'
PRL	
PRMT2	'alterations in histone modifications'
PRNP	
PROP1	'transcriptional alterations'
PROX2	'transcriptional alterations'
PRPF3	
PRPF31	
PRPF40A	
PRPS1	
PRR5	'TOR pathway dysregulation','intercellular communication impairment'
PRR5L	'TOR pathway dysregulation'
PSEN1	'nuclear DNA instability','transcriptional alterations','degradation of proteolytic systems','disabled macroautophagy'
PSG7	
PSMB4	'degradation of proteolytic systems'
PSMC6	'degradation of proteolytic systems'
PSMD5	
PSME3IP1	
PSORS1C3	
PSRC1	
PTBP1	
PTBP3	
PTEN	'senescent cells accumulation','intercellular communication impairment'
PTGDR	'sterile inflammation'
PTGER2	'sterile inflammation'
PTGES2	'accumulation of reactive oxygen species'
PTGR1	'accumulation of reactive oxygen species'
PTGS2	'accumulation of reactive oxygen species','sterile inflammation'
PTK2	
PTP4A2	
PTPN1	'INS/IGF-1 pathway dysregulation'
PTPN11	
PTPN3	
PTPN6	
PTPRE	
PTPRJ	
PTPRK	
PTPRM	
PTTG1	'nuclear DNA instability'
PUM2	'nuclear DNA instability','impairment of the mitochondrial integrity and biogenesis'
PXN	'transcriptional alterations'
PYCR1	'accumulation of reactive oxygen species'
PYHIN1	
QKI	
QPCT	
QRSL1	'impairment of the mitochondrial integrity and biogenesis'
QSOX1	'accumulation of reactive oxygen species','changes in the extracellular matrix structure'
RAB10	
RAB13	
RAB18	
RAB1A	'disabled macroautophagy'
RAB21	
RAB2A	
RAB33A	
RAB33B	'disabled macroautophagy'
RAB3A	'impairment of the mitochondrial integrity and biogenesis','intercellular communication impairment'
RAB40C	
RAB4A	
RAB5A	
RAB6A	
RABEP1	
RABEP2	
RABGGTA	
RABGGTB	
RAC2	
RAD21	'nuclear DNA instability','transcriptional alterations'
RAD23A	'nuclear DNA instability','degradation of proteolytic systems'
RAD23B	'nuclear DNA instability','degradation of proteolytic systems'
RAD50	'nuclear DNA instability','telomere attrition'
RAD51	'nuclear DNA instability','telomere attrition','alterations in histone modifications'
RAD51B	'nuclear DNA instability'
RAD52	'nuclear DNA instability'
RAD54B	
RAE1	'nuclear DNA instability'
RALB	'intercellular communication impairment'
RALGAPA1	
RALY	'transcriptional alterations'
RAMP1	
RAN	'nuclear DNA instability'
RANBP9	
RAP1B	
RAP1GAP	
RAP2A	
RAPGEF4	
RARA	'transcriptional alterations'
RASA3	
RASA4	
RASGRP2	
RASIP1	
RASSF2	
RB1	'chromatin remodeling','transcriptional alterations'
RBBP4	'alterations in histone modifications','chromatin remodeling','transcriptional alterations'
RBFOX1	
RBFOX2	
RBL2	'transcriptional alterations'
RBM15	
RBM18	
RBM22	
RBM23	
RBM3	
RBM38	
RBM39	
RBM5	
RBM7	
RBM8A	
RBMS1	
RBMX	'transcriptional alterations','degradation of proteolytic systems'
RBPJ	'transcriptional alterations','stem cell exhaustion','sterile inflammation'
RCAN3	
RCOR3	'alterations in histone modifications','transcriptional alterations'
RDH5	'accumulation of reactive oxygen species'
RECQL4	'nuclear DNA instability','telomere attrition'
REL	'transcriptional alterations','sterile inflammation'
RELA	'transcriptional alterations','sterile inflammation'
RELN	'degradation of proteolytic systems','TOR pathway dysregulation'
RET	'degradation of proteolytic systems'
RFTN1	
RFX1	'transcriptional alterations'
RFX7	'transcriptional alterations'
RGL1	
RGN	
RGS20	
RGS4	
RGS7	
RHOA	'transcriptional alterations'
RHOB	
RHOBTB3	
RHOH	
RHOT1	'impairment of the mitochondrial integrity and biogenesis'
RIC8B	
RICTOR	'TOR pathway dysregulation','intercellular communication impairment'
RIN1	
RIN2	
RIN3	
RING1	'alterations in histone modifications','chromatin remodeling'
RIPOR2	
RLF	'alterations in histone modifications','transcriptional alterations','alterations in DNA methylation'
RNASE1	
RNF103	'degradation of proteolytic systems'
RNF114	'degradation of proteolytic systems'
RNF123	'degradation of proteolytic systems'
RNF144A	'degradation of proteolytic systems'
RNF5	'degradation of proteolytic systems'
RNF6	'degradation of proteolytic systems'
RNGTT	
ROGDI	
RP1	
RPA1	'nuclear DNA instability','telomere attrition'
RPA3	'nuclear DNA instability','telomere attrition'
RPL10	'transcriptional alterations'
RPL17	
RPL22	
RPL28	
RPL3	
RPL31	
RPN1	
RPP25L	
RPS21	
RPS26	
RPS3A	
RPS6KA3	'transcriptional alterations','intercellular communication impairment'
RPS6KA5	'alterations in histone modifications','transcriptional alterations','sterile inflammation'
RPS6KB1	'TOR pathway dysregulation'
RPS6KC1	
RPTOR	'nuclear DNA instability','TOR pathway dysregulation','intercellular communication impairment'
RRAGD	'TOR pathway dysregulation','intercellular communication impairment'
RRBP1	
RRM1	'mitochondrial DNA instability','nuclear DNA instability','accumulation of reactive oxygen species'
RRP1B	'transcriptional alterations'
RSL1D1	'senescent cells accumulation'
RTCA	
RTN4	'nuclear architecture impairment'
RTN4IP1	'accumulation of reactive oxygen species'
RTTN	
RUNX3	'transcriptional alterations'
RWDD1	
RXRA	'transcriptional alterations'
RXRG	'transcriptional alterations'
RYK	
RYR1	
S100A12	'sterile inflammation'
S100A4	
S100A8	'sterile inflammation','intercellular communication impairment','disabled macroautophagy'
S100A9	'sterile inflammation','intercellular communication impairment','disabled macroautophagy'
S100B	
S1PR1	'transcriptional alterations'
SACS	
SAFB	'transcriptional alterations'
SALL2	'transcriptional alterations'
SAMM50	'impairment of the mitochondrial integrity and biogenesis'
SATB1	'chromatin remodeling','transcriptional alterations'
SBDS	
SCAF11	
SCAF8	
SCAMP1	
SCAND1	
SCAPER	
SCD	'accumulation of reactive oxygen species'
SCML1	
SCN10A	
SCN2B	'intercellular communication impairment'
SCN3A	
SCN4B	
SCP2	
SCPEP1	'degradation of proteolytic systems'
SDC2	
SDC4	
SDHAF3	
SDHB	'accumulation of reactive oxygen species'
SDHC	'accumulation of reactive oxygen species'
SEC23A	
SEC61A1	
SEC63	
SEL1L3	
SELENOM	'accumulation of reactive oxygen species'
SELENOP	
SELL	
SELPLG	
SEMA3B	'intercellular communication impairment'
SEMA6D	
SENP7	'degradation of proteolytic systems'
SEPTIN10	
SEPTIN2	
SEPTIN4	
SEPTIN6	
SERBP1	'nuclear architecture impairment'
SERINC3	
SERPINA4	
SERPINE1	'senescent cells accumulation'
SERPINF1	
SERTAD2	
SETD9	
SF3A1	
SF3B2	
SFPQ	'nuclear DNA instability','alterations in histone modifications','transcriptional alterations'
SFRP1	'stem cell exhaustion','intercellular communication impairment'
SFRP2	'transcriptional alterations','intercellular communication impairment'
SFXN4	
SGK1	'nuclear DNA instability'
SGPP1	
SGTA	'degradation of proteolytic systems'
SH2B3	'stem cell exhaustion'
SH2D1A	'intercellular communication impairment'
SH3BP5	
SH3KBP1	'intercellular communication impairment'
SHC1	'INS/IGF-1 pathway dysregulation'
SIAH1	'degradation of proteolytic systems'
SIGLEC12	
SIN3A	'alterations in histone modifications','transcriptional alterations'
SIRPA	
SIRT1	'nuclear DNA instability','alterations in histone modifications','chromatin remodeling','transcriptional alterations','degradation of proteolytic systems','TOR pathway dysregulation','AMPK pathway dysregulation','senescent cells accumulation','intercellular communication impairment'
SIRT2	'alterations in histone modifications','chromatin remodeling','transcriptional alterations','degradation of proteolytic systems','disabled macroautophagy'
SIRT3	'alterations in histone modifications'
SIRT4	'nuclear DNA instability','impairment of the mitochondrial integrity and biogenesis'
SIRT5	'impairment of the mitochondrial integrity and biogenesis'
SIRT6	'nuclear DNA instability','alterations in histone modifications','chromatin remodeling','transcriptional alterations','senescent cells accumulation'
SIRT7	'nuclear DNA instability','alterations in histone modifications','chromatin remodeling','transcriptional alterations'
SIT1	
SKAP2	
SKIC2	
SKIC8	'alterations in histone modifications'
SKIL	'transcriptional alterations'
SLAMF7	
SLBP	
SLC12A2	'intercellular communication impairment'
SLC12A6	'intercellular communication impairment'
SLC13A1	
SLC14A1	
SLC15A4	
SLC16A14	
SLC16A3	
SLC19A1	
SLC25A11	
SLC25A12	
SLC25A19	
SLC25A27	
SLC25A28	
SLC26A6	
SLC27A3	
SLC2A13	
SLC38A1	
SLC39A11	
SLC41A1	
SLC43A2	
SLC44A2	
SLC4A4	
SLC6A3	
SLC7A5	'intercellular communication impairment'
SLC7A6	
SLC9A2	
SLCO3A1	
SLPI	
SLU7	
SLX1B	'nuclear DNA instability','telomere attrition'
SMAD2	'transcriptional alterations'
SMAD3	'transcriptional alterations'
SMAD4	'transcriptional alterations','stem cell exhaustion'
SMARCA4	'chromatin remodeling','transcriptional alterations'
SMARCA5	'nuclear DNA instability','chromatin remodeling','transcriptional alterations','alterations in DNA methylation'
SMARCE1	'chromatin remodeling','transcriptional alterations'
SMC3	'nuclear DNA instability','stem cell exhaustion'
SMC4	'nuclear DNA instability'
SMC5	'nuclear DNA instability','telomere attrition','senescent cells accumulation','stem cell exhaustion'
SMCHD1	'nuclear DNA instability','chromatin remodeling'
SMNDC1	
SMOC1	
SMOC2	
SNAI1	'chromatin remodeling','transcriptional alterations'
SNAI2	'transcriptional alterations'
SNAP23	
SNAPC1	'transcriptional alterations'
SNCA	'transcriptional alterations','impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species','intercellular communication impairment'
SNCG	'intercellular communication impairment'
SNED1	
SNRNP27	
SNRNP70	
SNRPN	
SNTG2	
SNW1	'transcriptional alterations'
SOCS2	'INS/IGF-1 pathway dysregulation'
SOCS3	
SOD1	'accumulation of reactive oxygen species'
SOD2	'transcriptional alterations','impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'
SOD3	'accumulation of reactive oxygen species'
SON	
SORD	'accumulation of reactive oxygen species'
SORT1	
SOS2	'INS/IGF-1 pathway dysregulation'
SOX13	'transcriptional alterations'
SOX15	'transcriptional alterations'
SOX2	'transcriptional alterations','stem cell exhaustion'
SOX4	'transcriptional alterations','stem cell exhaustion'
SOX6	'transcriptional alterations'
SP1	'transcriptional alterations','intercellular communication impairment'
SP100	'nuclear DNA instability','telomere attrition','transcriptional alterations'
SPATS2L	
SPHK2	'alterations in histone modifications','chromatin remodeling'
SPON1	'degradation of proteolytic systems','changes in the extracellular matrix structure'
SPP1	'sterile inflammation'
SPRTN	'nuclear DNA instability','degradation of proteolytic systems'
SPRY2	
SPTBN1	
SPTSSA	
SPZ1	
SQSTM1	'transcriptional alterations','degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis','disabled macroautophagy'
SREK1	
SRI	
SRP54	
SRP68	
SRP72	
SRRM2	
SRSF1	
SRSF10	
SRSF11	
SRSF5	
SRSF6	
SSNA1	
SST	'intercellular communication impairment'
SSTR1	
SSTR2	
SSTR3	'intercellular communication impairment'
SSTR5	
ST13	'impairment of proteins folding and stability'
ST6GAL1	
ST6GALNAC2	
ST8SIA1	
ST8SIA5	
STAG1	'nuclear DNA instability'
STAG2	'nuclear DNA instability'
STARD13	
STAT3	'transcriptional alterations','stem cell exhaustion','sterile inflammation'
STAT5A	'transcriptional alterations'
STAT5B	'transcriptional alterations'
STK10	
STK17A	
STK24	'intercellular communication impairment'
STK25	
STK38	
STK4	
STOM	
STRADB	
STUB1	'nuclear DNA instability','degradation of proteolytic systems'
STX5	
STX6	
STX7	
STYX	
SUB1	'transcriptional alterations'
SUCLA2	
SUCLG1	
SUMO1	'nuclear DNA instability','nuclear architecture impairment'
SUMO2	'transcriptional alterations'
SUMO3	
SUN1	'nuclear DNA instability','nuclear architecture impairment'
SUPV3L1	'nuclear DNA instability','impairment of the mitochondrial integrity and biogenesis'
SURF1	'accumulation of reactive oxygen species'
SVEP1	
SYAP1	'TOR pathway dysregulation'
SYDE2	
SYN2	'intercellular communication impairment'
SYNGR1	
TAF5	'alterations in histone modifications','transcriptional alterations','degradation of proteolytic systems'
TAF6L	'alterations in histone modifications','chromatin remodeling','transcriptional alterations','degradation of proteolytic systems'
TAF9	'nuclear DNA instability','alterations in histone modifications','transcriptional alterations','degradation of proteolytic systems'
TAFA5	
TARDBP	
TARS1	
TAS2R16	
TAX1BP3	'degradation of proteolytic systems'
TBC1D1	
TBC1D8B	
TBC1D9B	
TBCA	
TBK1	'transcriptional alterations','sterile inflammation'
TBKBP1	'sterile inflammation'
TBL1X	'alterations in histone modifications','transcriptional alterations','degradation of proteolytic systems'
TBL3	
TBP	'transcriptional alterations'
TBX3	'transcriptional alterations','senescent cells accumulation','stem cell exhaustion'
TBXA2R	'sterile inflammation'
TCAF1	
TCEAL1	
TCERG1	'transcriptional alterations'
TCF3	'transcriptional alterations'
TCIRG1	'sterile inflammation','disabled macroautophagy'
TELO2	'nuclear DNA instability','telomere attrition','TOR pathway dysregulation'
TEP1	'nuclear DNA instability','telomere attrition'
TERC	
TERF1	'nuclear DNA instability','telomere attrition'
TERF2	'nuclear DNA instability','telomere attrition','senescent cells accumulation'
TERT	'nuclear DNA instability','telomere attrition','impairment of the mitochondrial integrity and biogenesis','senescent cells accumulation'
TESK1	
TFAP2A	'transcriptional alterations'
TFDP1	'transcriptional alterations'
TFDP2	'transcriptional alterations'
TGFA	
TGFB1	'transcriptional alterations','degradation of proteolytic systems','sterile inflammation','changes in the extracellular matrix structure'
TGFBR1	
TGFBR2	
TGFBR3	
TGIF1	'transcriptional alterations'
TGM2	'alterations in histone modifications','degradation of proteolytic systems'
TGOLN2	
TH	'accumulation of reactive oxygen species','intercellular communication impairment'
THY1	'intercellular communication impairment'
TIAM1	
TICAM1	'sterile inflammation'
TIMELESS	'nuclear DNA instability'
TIMM17A	
TIMM21	
TIMM8A	'impairment of the mitochondrial integrity and biogenesis'
TIMP1	
TIMP2	
TIRAP	'sterile inflammation'
TJP2	
TLE1	
TLN1	
TLN2	
TLR1	'sterile inflammation'
TLR10	'sterile inflammation'
TLR2	'transcriptional alterations','sterile inflammation'
TLR3	'transcriptional alterations'
TLR4	'transcriptional alterations','sterile inflammation'
TLR5	'sterile inflammation'
TLR7	'transcriptional alterations','sterile inflammation'
TLR8	'sterile inflammation'
TM2D1	
TM4SF1	
TMBIM4	
TMBIM6	'disabled macroautophagy'
TMEM123	
TMEM131L	
TMEM167B	
TMEM18	
TMEM185A	
TMEM47	
TMEM9	
TMPO	
TMPRSS2	'degradation of proteolytic systems'
TMTC2	
TMX1	'accumulation of reactive oxygen species'
TNF	'transcriptional alterations','sterile inflammation'
TNFAIP8	
TNFRSF10B	
TNFRSF21	
TNFRSF4	'sterile inflammation'
TNFSF14	
TNFSF8	'transcriptional alterations','intercellular communication impairment'
TNKS2	
TNNI3K	'intercellular communication impairment'
TNNT1	
TNRC6A	'intercellular communication impairment'
TOB1	
TOLLIP	'degradation of proteolytic systems','sterile inflammation','disabled macroautophagy'
TOMM20	'impairment of the mitochondrial integrity and biogenesis'
TOMM40	'impairment of the mitochondrial integrity and biogenesis'
TOP1	'nuclear DNA instability','chromatin remodeling'
TOP2B	'nuclear DNA instability'
TOP3B	'nuclear DNA instability'
TOPORS	'nuclear DNA instability','transcriptional alterations','degradation of proteolytic systems'
TOX	'transcriptional alterations'
TP53	'mitochondrial DNA instability','nuclear DNA instability','chromatin remodeling','transcriptional alterations','impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species','senescent cells accumulation','stem cell exhaustion','intercellular communication impairment','disabled macroautophagy'
TP53BP1	'nuclear DNA instability','transcriptional alterations'
TP53I11	
TP53INP1	'disabled macroautophagy'
TP53TG1	
TP63	'chromatin remodeling','transcriptional alterations','senescent cells accumulation','stem cell exhaustion','intercellular communication impairment'
TP73	'nuclear DNA instability','transcriptional alterations'
TPBG	'intercellular communication impairment'
TPD52L2	
TPI1	
TPM3	
TPP2	'degradation of proteolytic systems'
TPPP	
TPPP3	
TPST2	
TRAF1	
TRAK2	'impairment of the mitochondrial integrity and biogenesis'
TRAM2	
TRAP1	'impairment of proteins folding and stability'
TRAPPC10	
TRIB2	
TRIM23	
TRIM33	'transcriptional alterations'
TRIM38	'degradation of proteolytic systems'
TRIM55	
TRIM58	'degradation of proteolytic systems'
TRIM72	'degradation of proteolytic systems','INS/IGF-1 pathway dysregulation'
TRIO	
TRIOBP	
TRIP12	'nuclear DNA instability','degradation of proteolytic systems'
TRMT112	'alterations in histone modifications'
TRPV1	'transcriptional alterations','sterile inflammation'
TSC22D1	'transcriptional alterations'
TSC22D3	'transcriptional alterations'
TSNAX	
TSPAN5	
TSPAN6	
TSPYL2	'chromatin remodeling'
TST	
TTC4	
TTC9	
TTF2	'nuclear DNA instability','chromatin remodeling'
TTLL12	
TTR	
TUBA3C	
TUBB	
TUBB2A	
TUBB6	
TWF1	
TXK	'transcriptional alterations'
TXN	'transcriptional alterations','accumulation of reactive oxygen species'
TXNDC11	
TXNDC9	
TXNIP	'transcriptional alterations'
TXNRD1	'accumulation of reactive oxygen species'
TYMS	
U2AF1	
UBA2	
UBE2B	'nuclear DNA instability','alterations in histone modifications','degradation of proteolytic systems'
UBE2D2	'degradation of proteolytic systems'
UBE2D3	'nuclear DNA instability','transcriptional alterations','degradation of proteolytic systems'
UBE2H	'degradation of proteolytic systems'
UBE2M	
UBE2S	'degradation of proteolytic systems'
UBL3	
UBL5	
UBP1	'transcriptional alterations'
UBR5	'nuclear DNA instability'
UCHL1	'degradation of proteolytic systems','intercellular communication impairment'
UCHL3	'degradation of proteolytic systems'
UCP1	'transcriptional alterations'
UCP2	'intercellular communication impairment'
UCP3	
UGP2	
UPF1	'nuclear DNA instability','telomere attrition'
UPF2	
UPF3A	
UQCRB	
UQCRC1	'accumulation of reactive oxygen species'
UQCRC2	'degradation of proteolytic systems'
UQCRFS1	'accumulation of reactive oxygen species'
UQCRH	'accumulation of reactive oxygen species'
URM1	
UROS	
USE1	
USF2	'transcriptional alterations','intercellular communication impairment'
USO1	
USP1	'nuclear DNA instability','degradation of proteolytic systems'
USP10	'nuclear DNA instability','degradation of proteolytic systems','disabled macroautophagy'
USP13	'degradation of proteolytic systems','disabled macroautophagy'
USP14	'degradation of proteolytic systems','intercellular communication impairment'
USP2-AS1	
USP25	'degradation of proteolytic systems'
USP3	'nuclear DNA instability','alterations in histone modifications','degradation of proteolytic systems'
USP42	'degradation of proteolytic systems'
USP46	'degradation of proteolytic systems'
USP54	'degradation of proteolytic systems'
USP6	'degradation of proteolytic systems'
UTS2	'intercellular communication impairment'
UXS1	
UXT	'transcriptional alterations'
VAMP3	
VAMP4	
VASH1	'degradation of proteolytic systems','senescent cells accumulation'
VAT1	'accumulation of reactive oxygen species'
VCAN	'changes in the extracellular matrix structure'
VCL	
VCP	'nuclear DNA instability','degradation of proteolytic systems','disabled macroautophagy'
VDAC1P1	
VEGFA	'transcriptional alterations'
VEGFB	
VEGFC	
VEGFD	
VGLL4	
VHL	'transcriptional alterations','degradation of proteolytic systems'
VIM	
VLDLR	
VPS26A	
VRK2	
VRK3	
VWF	'changes in the extracellular matrix structure'
WDR12	
WDR33	'nuclear DNA instability'
WDR4	'nuclear DNA instability'
WDR6	
WDR77	'alterations in histone modifications','transcriptional alterations'
WDR87	
WDR91	'degradation of proteolytic systems'
WFS1	'transcriptional alterations','degradation of proteolytic systems'
WIF1	
WIPF1	'impairment of proteins folding and stability'
WNK1	
WNT1	'transcriptional alterations','degradation of proteolytic systems','INS/IGF-1 pathway dysregulation','senescent cells accumulation','intercellular communication impairment'
WNT10A	'stem cell exhaustion'
WNT10B	'transcriptional alterations'
WNT11	
WNT16	'senescent cells accumulation'
WNT2	'transcriptional alterations','intercellular communication impairment'
WNT2B	'intercellular communication impairment'
WNT3	
WNT3A	'transcriptional alterations','stem cell exhaustion'
WNT4	'intercellular communication impairment'
WNT5A	'transcriptional alterations','intercellular communication impairment'
WNT5B	
WNT6	'intercellular communication impairment'
WNT7A	'transcriptional alterations','stem cell exhaustion'
WNT7B	
WNT9A	
WNT9B	'stem cell exhaustion','intercellular communication impairment'
WRN	'nuclear DNA instability','telomere attrition','senescent cells accumulation','intercellular communication impairment'
WSB1	
WWOX	'transcriptional alterations','accumulation of reactive oxygen species'
XBP1	'transcriptional alterations','degradation of proteolytic systems','intercellular communication impairment','disabled macroautophagy'
XPA	'nuclear DNA instability'
XPO7	
XRCC1	'nuclear DNA instability','telomere attrition'
XRCC2	'nuclear DNA instability'
XRCC5	'nuclear DNA instability','telomere attrition','stem cell exhaustion'
XRCC6	'nuclear DNA instability','telomere attrition','transcriptional alterations'
YAP1	'nuclear DNA instability','transcriptional alterations','stem cell exhaustion'
YES1	'transcriptional alterations'
YWHAB	
YWHAE	
YWHAZ	'transcriptional alterations'
YY1	'nuclear DNA instability','telomere attrition','chromatin remodeling','transcriptional alterations'
ZBTB1	'nuclear DNA instability','chromatin remodeling','transcriptional alterations'
ZBTB18	'transcriptional alterations'
ZBTB25	'transcriptional alterations'
ZBTB43	'transcriptional alterations'
ZBTB44	
ZBTB8A	'transcriptional alterations'
ZBTB8OS	
ZC3H7A	
ZC3HAV1	
ZC3HC1	
ZCCHC14	
ZCCHC3	
ZCRB1	
ZEB1	'transcriptional alterations'
ZEB2	'transcriptional alterations'
ZER1	'degradation of proteolytic systems'
ZFAND2A	'degradation of proteolytic systems'
ZFHX3	'transcriptional alterations'
ZFP36	'transcriptional alterations','stem cell exhaustion'
ZFP36L1	
ZFP36L2	'stem cell exhaustion'
ZFP64	'transcriptional alterations'
ZFP69B	'transcriptional alterations'
ZFTRAF1	
ZFYVE28	
ZFYVE9	
ZHX2	'transcriptional alterations','stem cell exhaustion'
ZMAT3	'nuclear DNA instability'
ZMIZ1	'transcriptional alterations','senescent cells accumulation'
ZMIZ2	'transcriptional alterations'
ZMPSTE24	'nuclear DNA instability','nuclear architecture impairment','alterations in histone modifications','alterations in DNA methylation','degradation of proteolytic systems','TOR pathway dysregulation','AMPK pathway dysregulation','senescent cells accumulation'
ZNF131	'transcriptional alterations'
ZNF136	'transcriptional alterations'
ZNF141	'transcriptional alterations'
ZNF19	'transcriptional alterations'
ZNF22	'transcriptional alterations'
ZNF226	'transcriptional alterations'
ZNF232	'transcriptional alterations'
ZNF264	'transcriptional alterations'
ZNF266	'transcriptional alterations'
ZNF267	'transcriptional alterations'
ZNF273	'transcriptional alterations'
ZNF274	'transcriptional alterations'
ZNF318	
ZNF32	'transcriptional alterations'
ZNF415	'transcriptional alterations'
ZNF419	'transcriptional alterations'
ZNF423	'transcriptional alterations'
ZNF430	'transcriptional alterations'
ZNF454	'transcriptional alterations'
ZNF532	
ZNF557	'transcriptional alterations'
ZNF571	'transcriptional alterations'
ZNF576	'transcriptional alterations'
ZNF577	'transcriptional alterations'
ZNF586	'transcriptional alterations'
ZNF592	
ZNF652	'transcriptional alterations'
ZNF785	'transcriptional alterations'
ZNF91	'transcriptional alterations'
ZSCAN18	'transcriptional alterations'
ZSCAN5A	'transcriptional alterations'
ZW10	'nuclear DNA instability'